Profundidade (m),Vazão (L/h),Fraturas (m),Resíduo Seco (mg/L),Lab,Análise,Latitude,Longitude
55,seco,-,-,,,"07°06'34.4""","36°01'18.8"""
52.60,742,27.0,3200.00,,,"07°10'09.9""","36°03'32.5"""
,nan,,nan,,,"06°58'31.6""","36°10'06.3"""
60,seco,-,-,,,"07°09'46.4""","36°03'23.2"""
,nan,,nan,,,"07°10'46.60""","35°59'50.00"""
51.40,88,8,9305.90,LABDES,04./2014,"07°04'56.6""","36°02'51.8"""
97.50,720,62,12578.40,LABDES,486/2014,"07°00'22.5""","36°02'51.4"""
52,seco,20,-,,,"07°05'43.7""","36°02'46.9"""
,nan,,nan,,,"07°06'00.7""","36°04'36.4"""
,nan,,nan,,,"07°05'07.4""","35°59'19.6"""
48.70,3272,,5467.30,LABDES,322/2013,"07°03'56.8""","36°06'18.5"""
52,nan,13,nan,,,nan,nan
,nan,,nan,,,"06°46'16.8""","37°47'58.3"""
,nan,,nan,,,"07°43'08.4""","37°05'41.6"""
50,400,,1479.70,LABDES,318/2011,"07°07'35.1""","38°35'12.1"""
60,seco,0,nan,,,nan,nan
52,986,35.0,nan,,,nan,nan
51,2400,24.0,nan,,,nan,nan
58,nan,0,nan,,,nan,nan
49.50,nan,0,nan,,,nan,nan
55,seco,-,-,,,"07°09'48.0""","35°56'21.5"""
,nan,,nan,,,"07°07'13.0""","35°58'00.0"""
52,seco,-,-,,,"07°08'17.0""","35°59'33.9"""
51,seco,-,-,,,"07°08'44.1""","35°59'28.2"""
51,seco,-,-,,,"07°07'50.3""","35°57'01.1"""
,nan,,nan,,,"07°07'26.9""","35°58'01.1"""
48.70,80,27,-,,,"07°09'26.8""","35°55'49.5"""
52,seco,-,-,,,"07°09'00.2""","35°56'06.9"""
52,seco,-,-,,,"07°09'03.4""","35°58'16.6"""
,nan,,nan,,,"07°08'17.0""","35°59'33.9"""
52,seco,-,-,,,"07°08'56.0""","35°55'39.1"""
53,95,13,-,,,"07°08'40.7""","35°55'31.6"""
,nan,,nan,,,"07°11'02.2""","35°55'42.9"""
41.30,10285,15.666666666666666,nan,,,nan,nan
52,nan,0,nan,,,"07°20'18.80""","35°54'16.40"""
32,553,18,nan,,,nan,nan
59,553,10,nan,,,nan,nan
51,935,33,nan,,,"07°26'51.20""","35°53'20.30"""
41.35,2250,16.5,nan,,,nan,nan
54,seco,0,-,,,"07°22'08.10""","35°52'24.10"""
,nan,,nan,,,"07°24'33.1""","35°49'51.4"""
52,seco,-,-,,,"07°29'23.0""","35°50'46.8"""
48.70,2057,31.5,2329.10,LABDES,294/2012,"07°22'38.2""","35°53'53.4"""
54,seco,-,-,,,"07°22'08.10""","35°52'24.10"""
,nan,,nan,,,"07°18'11.6""","35°53'26.9"""
50,seco,12,-,,,"07°22'43.5""","35°51'51.9"""
40,10285,15.666666666666666,nan,,,"07°28'52.80""","35°54'57.60"""
,nan,,nan,,,"07°21'42.8""","35°56'16.2"""
,nan,,nan,,,"07°20'29.3""","35°54'42.8"""
,nan,,nan,,,"07°23'34.8""","35°53'55.0"""
50,935,33,3464,LABDES,786/2015,"07°26'51.2""","35°53'20.3"""
,nan,,nan,,,"07°20'18.8""","35°54'16.4"""
32,553,,667.1,LABDES,847/2015,"07°19'22.4""","35°53'03.1"""
51.5,480,15.5,3402,,,"07°03'10.7""","37°11'58.0"""
51,514,,nan,,,"07°00'25.50""","35°47'05.10"""
,nan,,nan,,,"06°58'57.8""","35°48'31.3"""
,nan,,nan,,,"06°59'21.2""","35°46'46.1"""
,nan,,nan,,,"06°56'19.0""","35°50'30.8"""
51,514,,nan,,,"07°00'25.5""","35°47'05.1"""
,nan,40,nan,,,"06°53'34.9""","35°53'12.9"""
50,nan,0,nan,,,nan,nan
51,nan,,nan,,,nan,nan
,nan,,nan,,,"07°04'19.5""","35°56'59.9"""
,nan,,nan,,,"06°32'10.2""","35°39'02.2"""
,nan,,nan,,,"07°13'45.6""","35°40'20.0"""
51.4,12000,21.333333333333332,180.3,LABDES,43/2012,"07°09'38.8""","35°15'24.0"""
40.3,1142,13.333333333333334,1220.90,LABDES,172/2012,"07°09'45.8""","35°18'52.36"""
30,18000,19.5,1312.10,LABDES,324/2011,"07°08'35.4""","35°16'41.6"""
,nan,,nan,,,"07°09'28.1""","35°16'42.7"""
32.5,12000,25.0,831.3,LABDES,547/2014,"07°08'42.3""","35°15'48.5"""
,nan,,nan,,,"07°10'28.2""","35°16'43.5"""
,nan,,nan,,,"07°09'25.2""","35°16'19.9"""
,nan,,nan,,,"07°10'38.1""","35°17'35.2"""
,nan,,nan,,,"07°10'46.1""","35°17'03.7"""
56.60  ,2400,37.5,nan,,,nan,nan
51,nan,22.0,nan,,,nan,nan
760.80,2482,52.5,nan,,,nan,nan
52.40  ,1714,37.75,nan,,,nan,nan
60,nan,52,nan,,,nan,nan
54.80  ,4235,34.0,nan,,,nan,nan
54,nan,0,nan,,,nan,nan
70,seco,0,nan,,,nan,nan
51,12000,14.0,nan,,,nan,nan
51,1411,31.5,nan,,,nan,nan
60,2181,34.5,nan,,,nan,nan
51,4800,29.5,nan,,,nan,nan
80,nan,59,nan,,,nan,nan
53,2000,21.5,nan,,,nan,nan
52,1894,37.0,nan,,,nan,nan
59,nan,36.333333333333336,nan,,,nan,nan
53,6000,25.0,nan,,,nan,nan
63,1125,40.5,nan,,,nan,nan
53,7200,31.5,nan,,,nan,nan
51.40,637,22.0,1876.60,LABDES,125/2013,"07°09'23.4""","35°18'16.0"""
63,1107,50.5,771.8,LABDES,276/2012,"07°04'08.7""","36°47'07.4"""
56,10285,21.0,nan,,,nan,nan
58,seco,9,nan,,,nan,nan
56,10285,21.0,2323.90,LABDES,964/2015,07°22'47.6,"35°30'59.5"""
48,4235,18.666666666666668,nan,,,"07°26'07.0""","35°32'39.3"""
,nan,,nan,,,"07°41'29.9""","35°57'34.4"""
,nan,,nan,,,"07°43'33.5""","36°52'43.2"""
,nan,,nan,,,"06°57'54.8""","36°50'18.5"""
43,303,Lipeza,495,LABDES,439/2013,"07°01'49.3""","36°52'57.2"""
51,1894,10,4048.70,LABDES,315/2012,"06°50'39.5""","36°56'51.4"""
51,757,,566.5,LABDES,21/2011,"07°03'50.6""","37°26'08.1"""
,nan,,nan,,,"07°00'02.1""","37°28'17.2"""
51.2,450,27,474,LABDES,273/2012,"07°19'17.1""","37°56'51.6"""
51.2,409,12,1000.70,LABDES,188/2013,"06°56'10.0""","37°42'58.9"""
,nan,,nan,,,"06°54'45.6""","37°44'29.1"""
,nan,,nan,,,"06°50'09.4""","37°43'24.1"""
,nan,,nan,,,"06°54'45.6""","37°44'29.1"""
51.2,14400,18,521.4,LABDES,220/2012,"06°47'16.9""","37°56'46.4"""
58.6,10285,17.5,482.9,LABDES,219/2012,"06°47'22.3""","37°56'37.1"""
,nan,,nan,,,"07°22'16.8""","35°31'52.2"""
,nan,,nan,,,"06°46'10.6""","37°26'49.4"""
,nan,,nan,,,"06°47'40.8""","37°27'16.0"""
,nan,,nan,,,"06°44'56.5""","37°24'25.5"""
,nan,,nan,,,"06°53'46.6""","37°29'06.3"""
51,nan,30,nan,,,nan,nan
51,nan,31.0,nan,,,nan,nan
51,nan,40,nan,,,nan,nan
,nan,,nan,,,"07°06'54.5""","38°30'18.3"""
,nan,,nan,,,"07°08'48.4""","38°39'19.4"""
,nan,,nan,,,"07°08'48.4""","38°39'19.4"""
,nan,,nan,,,"07°07'17.9""","38°27'49.8"""
51,seco,-,-,,,"07°07'05.8""","38°33'44.8"""
,nan,,nan,,,"07°07'35.1""","38°35'12.1"""
60,Improdutivo,13,-,,,"07°03'41.7""","38°35'24.3"""
51,seco,15,-,,,"07°02'42.8""","38°36'25.6"""
50.70,411,13,970.5,LABDES,215/2012,"07°09'58.8""","37°19'45.3"""
,nan,,nan,,,"07°09'56.8""","37°20'00.2"""
50,seco,12,-,,,"07°09'59.4""","37°20'20.8"""
65,seco,13,-,,,"07°10'23.2""","37°20'11.1"""
51.70,2769,20.0,1234.30,LABDES,221/2012,"07°11'47.7""","37°21'12.4"""
51.70,1014,12,592.3,LABDES,217/2012,"07°10'44.2""","37°21'12.9"""
51.40,1894,,2818.50,,,"07°04'24.2""","37°18'45.6"""
52,nan,34.5,nan,,,nan,nan
51,406,18,nan,,,"07°28'05.4""","36°55'58.7"""
40.13,537,29,nan,,,"07°28'04.4""","36°55'55.3"""
,nan,,nan,,,"07°25'56.0""","36°44'36.3"""
,nan,,nan,,,"07°12'11.2""","35°09'31.8"""
,nan,,nan,,,"07°15'08.8""","35°12'13.5"""
,nan,,nan,,,"07°13'13.1""","35°12'23.4"""
53,2666,,1005.60,LABDES,114/2014,"07°13'40.4""","35°11'34.1"""
50.70,318,8,587.5,LABDES,120/2014,"07°13'40.4""","35°11'34.1"""
52,seco,-,-,,,"07°04'42.8""","35°51'18.9"""
54,3130,32.5,nan,,,nan,nan
67,outro nome,52.5,nan,,,nan,nan
62,seco,40,nan,,,nan,nan
52,1000,41.0,nan,,,nan,nan
33,seco,-,-,,,"07°07'02.5""","35°09'31.6"""
50,10285,19.5,638.5,LABDES,109/2011,"07°07'12.8""","35°13'22.5"""
,nan,,nan,,,"07°04'27.3""","35°17'57.6"""
55,10285,27.0,572.7,LABDES,293/2011,"07°02'30.6""","35°12'58.4"""
,nan,,nan,,,"07°02'55.0""","35°11'56.8"""
,nan,,nan,,,"07°09'30.7""","35°11'20.1"""
72.10,400,52.5,182.3,LABDES,373/2012,"07°09'08.2""","35°11'10.5"""
,nan,,nan,,,"07°07'20.1""","35°16'22.9"""
36,Improdutivo,30,-,,,"07°00'43.5""","35°14'55.3"""
,nan,,nan,,,"07°08'50.6""","35°12'36.8"""
60,seco,-,-,,,"07°02'55.1""","35°11'56.6"""
60,1531,37.0,148.6,LABDES,145/2011,"07°02'57.1""","35°11'57.5"""
,nan,,nan,,,"07°07'35.3""","35°08'51.6"""
,nan,,nan,,,"07°09'30.7""","35°11'20.1"""
,nan,,nan,,,"07°04'44.9""","35°08'56.7"""
51,nan,,nan,,,nan,nan
51,4000,27,nan,,,nan,nan
40,10285,,nan,,,nan,nan
50,seco,17,-,,,"07°35'34.8""","36°45'58.0"""
32.40,960,,3468.10,LABDES,105/2012,"07°34'30.2""","36°48'36.8"""
,nan,,nan,,,"06°41'25.80""","35°26'02.80"""
,nan,,nan,,,"06°41'25.80""","35°26'02.80"""
52,seco,-,-,,,"06°42'37.4""","35°26'48.1"""
55,128,0,nan,,,"07°10'52.4""","35°42'15.8"""
72,seco,0,nan,,,"07°09'47.0""","35°41'39.1"""
61,1674,50,nan,,,nan,nan
50,seco,-,-,,,"07°10'27.5""","35°39'38.4"""
53,1565,29.333333333333332,nan,,,nan,nan
53,2250,23.5,nan,,,nan,nan
53.60,867,23,577.1,LABDES,388/2014,"06°51'56.1""","35°40'29.2"""
58,nan,34.0,nan,,,nan,nan
56,nan,23.5,nan,,,nan,nan
55,1333,35.0,nan,,,nan,nan
51.30  ,4235,30.0,nan,,,nan,nan
49,4800,33.25,nan,,,nan,nan
51,1384,27.0,nan,,,nan,nan
55,2571  Obs,36.5,nan,,,nan,nan
55,nan,39.0,nan,,,nan,nan
55,533,33.0,nan,,,nan,nan
53,7200,28.0,nan,,,nan,nan
66,nan,31,nan,,,nan,nan
51,nan,19.0,nan,,,nan,nan
52.40,5142,31.0,nan,,,nan,nan
44,9000,33.0,nan,,,nan,nan
52,911,38.333333333333336,nan,,,nan,nan
53,3000,37.333333333333336,nan,,,nan,nan
56,156 Lts /h,43,nan,,,"07°10'37.10""","35°11'39.30"""
33.80,6545,29.5,354.5,LABDES,147/2011,"07°10'39.7""","35°13'49.8"""
44.40,9000,23.5,438,LABDES,363/2012,"07°10'31.1""","35°13'35.9"""
51,8000,36.5,438,LABDES,322/2011,07°10'11.3,"35°13'31.1"""
56,156,43,-,,,"07°10'37.10""","35°11'39.30"""
29.80,3000,29.5,185.9,LABDES,06./2014,"07°10'49.2""","35°16'00.2"""
55,4235,31.333333333333332,232,LABDES,123/2014,"07°10'47.5""","35°14'25.9"""
39.70,878,19.5,522.2,LABDES,15/2012,"07°09'54.6""","35°14'13.2"""
120,seco,0,nan,,,nan,nan
94,seco,0,nan,,,nan,nan
,nan,,nan,,,"06°35'50.8""","35°28'03.1"""
,nan,,nan,,,"06°45'11.5""","35°41'52.2"""
,nan,,nan,,,"06°45'20.40""","35°41'47.40"""
94,seco,-,-,,,"06°46'13.7""","35°40'17.7"""
50,nan,0,nan,,,"07°05'00.50""","36°26'29.50"""
,nan,,nan,,,"07°04'05.4""","36°22'13.1"""
34.55,12000,,nan,,,"07°38'45.3""","36°53'37.7"""
51.12,791,26.0,nan,,,nan,nan
58,600,36.0,688.7,LABDES,266/2011,"07°38'44.1""","36°57'04.5"""
,nan,,nan,,,"07°45'21.0""","37°57'35.9"""
,nan,,nan,,,"07°40'57.0""","36°53'35.5"""
,nan,,nan,,,"07°38'58.5""","36°55'25.5"""
62,nan,0,nan,,,nan,nan
46,1200,,nan,,,nan,nan
81,nan,38,nan,,,nan,nan
51,566,15,2283.20,LABDES,277/2013,"06°29'45.5""","35°41'01.9"""
51,2117,26.0,3864.00,LABDES,278/2013,"06°29'29.4""","35°40'26.3"""
25,seco,-,-,,,"07°17'29.3""","37°00'34.5"""
32,Improdutivo,14,-,,,"07°16'58.2""","36°53'16.0"""
52.80,391,35.5,1358.80,LABDES,541/2013,"07°12'23.2""","36°50'21.9"""
52,2482,,1028.30,LABDES,442/2013,"07°14'02.0""","36°49'50.8"""
48.85,5538,18,4666.10,LABDES,10./2015,"07°12'07.5""","36°48'59.7"""
52,seco,17,-,,,"07°13'12.4""","36°50'23.6"""
48.50,1333,,2242.50,LABDES,497/2013,"07°12'34.5""","36°49'24.3"""
,nan,,nan,,,"07°12'17.3""","36°49'28.2"""
49,923,24,nan,,,"07°14'29.2""","36°53'19.8"""
,nan,,nan,,,"07°12'27.9""","36°59'41.0"""
49,12000,,3100.00,LABDES,387/2013,"07°14'06.4""","36°51'18.2"""
,nan,,nan,,,"07°11'27.9""","36°47'39.6"""
,nan,30.5,nan,,,"06°56'19.5""","36°37'51.4"""
,nan,,nan,,,"07°39'49.3""","35°38'58.0"""
,nan,,nan,,,"07°41'44.1""","35°46'10.6"""
,nan,,nan,,,"07°39'24.9""","35°41'31.1"""
,nan,,nan,,,"07°42'36.6""","35°43'47.8"""
,nan,,nan,,,"07°41'47.6""","35°47'57.1"""
,nan,,nan,,,"07°42'54.8""","35°48'22.7"""
