Profundidade (m),Vazão (L/h),Fraturas (m),Resíduo Seco (mg/L),Lab,Análise,Latitude,Longitude
52,nan,33,nan,,,nan,nan
52,seco,0,nan,,,nan,nan
52,nan,30,nan,,,nan,nan
52,nan,21,nan,,,nan,nan
52,seco,11,nan,,,nan,nan
,nan,,nan,,,"07°26'44.0""","37°35'17.4"""
51,Improdutivo,22,-,,,"07°02'56.30""","35°34'29.60"""
33,4800,17.5,8568.7 mg/ L,LABDES,343/2015,"07°03'10.2""","35°36'20.5"""
25.10,8000,,3527.80,LABDES,346/2015,"07°03'42.2""","35°35'42.4"""
33.24,8000,16.0,8437.60,LABDES,344/2015,"07°03'16.4""","35°36'27.8"""
47,5538,32.0,nan,LABDES,959/2015,"07°01'47.70""","35°36'39.30"""
52,742,36,6664.70,LABDES,271/2013,"07°03'37.3""","35°36'53.7"""
51.30,2057,23.0,10628.00,LABDES,378/2012,"07°03'33.6""","35°36'01.0"""
51.40,1263,15.5,1592.90,LABDES,337/2012,"07°03'02.2""","35°37'32.3"""
52,seco,0,-,,,"07°02'18.2""","35°33'33.8"""
30,169,10,-,,,"07°02'13.9""","35°33'34.5"""
44.80,10285,16.5,1425.30,LABDES,123/2013,"07°04'39.5""","35°39'35.1"""
,nan,34,nan,,,"07°03'35.7""","35°37'36.7"""
,nan,,nan,,,"07°01'24.4""","35°36'24.8"""
51,Improdutivo,11,-,,,"07°01'31.0""","35°36'11.2"""
,nan,,nan,,,"07°01'58.8""","35°37'22.8"""
50,282,,905,LABDES,540/2013,"07°03'43.6""","35°38'10.1"""
,nan,,nan,,,"07°02'56.30""","35°34'29.60"""
51,133,,nan,,,"07°03'27.00""","35°33'25.50"""
,nan,,nan,,,"07°02'14.60""","35°39'01.50"""
32.20,2117,,2092.00,,,"07°04'21.6""","35°34'42.6"""
,nan,,nan,,,"07°04'26.4""","35°34'32.8"""
,nan,,nan,,,"07°03'11.8""","35°36'32.1"""
,nan,,nan,,,"07°04'07.9""","35°39'38.3"""
49.40,1028,,853.6,LABDES,17/2014,"07°00'54.9""","35°35'22.0"""
,nan,,nan,,,"07°00'43.8""","35°35'28.1"""
51.40,174,15,-,,,"07°01'32.8""","35°36'27.2"""
,nan,,nan,,,"07°01'16.1""",35°39'50.0
,nan,34,nan,,,"07°04'37.6""","35°35'13.8"""
,nan,,nan,,,"07°03'40.4""","35°38'08.0"""
51,1800,38,1239.00,LABDES,396/2015,"07°03'36.4""","35°48'08.5"""
51,173,21,472.8,LABDES,215/2015,"07°03'00.6""","35°44'54.0"""
35.60,7200,21.5,557.6,LABDES,193/2015,"07°03'39.2""","35°47'18.0"""
61,seco,0,-,,,"07°02'55.0""","35°49'07.8"""
52,seco,13,-,,,"07°02'45.7""","35°48'50.8"""
50,seco,0,-,,,"07°04'12.1""","35°48'25.2"""
50,seco,0,-,,,"07°03'09.6""","35°46'42.0"""
50.80,92,0,-,,,"07°04'43.3""","35°49'00.8"""
51.70,503,8,2308,LABDES,644/2014,"07°03'34.05""","35°46'40.2"""
51.60,600,20.5,168.5,LABDES,355/2014,"07°31'14.6""","35°45'01.4"""
,nan,,nan,,,"07°02'54.1""","35°48'58.7"""
,nan,,nan,,,"07°04'05.80""","35°48'38.10"""
54,175,37,1132.00,,,"07°04'56.0""","35°48'52.8"""
,nan,,nan,,,"06°56'51.4""","35°30'36.8"""
,nan,,nan,,,"08°27'47.7""","36°01'01.4"""
50,nan,30,2543.40,LABDES,13/2011,"06°49'24.8""","35°24'44.7"""
48.70,2181,13.5,1100.10,LABDES,227/2012,"06°49'22.6""","35°24'41.4"""
52,Improdutivo,13,-,,,"06°57'53.9""","35°19'43.5"""
,nan,,nan,,,"06°46'15.0""","35°23'54.6"""
31,200,,3470,,,"06°50'00.6""","35°22'38.1"""
